distance_angstrom,elst10_hartree,exch10_hartree,disp20_hartree,exch_disp20_hartree,ind20r_hartree,exch_ind20r_hartree,total_hartree,elst10_kcal_mol,exch10_kcal_mol,disp20_kcal_mol,exch_disp20_kcal_mol,ind20r_kcal_mol,exch_ind20r_kcal_mol,total_kcal_mol
3.0,-4.230534960836252e-05,0.0005985208696772644,-0.0002349509324912607,1.7524107357628064e-05,-1.7344926617523314e-05,1.2359398395286133e-05,0.0003338031667130321,-0.026547007682799138,0.37557751614696944,-0.1474339360782259,0.010996543391410488,-0.01088410577942512,0.0077556395867623236,0.20946464958469205
3.7777777777777777,1.6389079256384775e-05,3.698044490874101e-05,-4.399609904109918e-05,1.2082306718986688e-06,-9.285096537321823e-07,4.33637871701088e-07,1.0086784013894179e-05,0.010284302504552473,0.023205579535303514,-0.027607968970108206,0.0007581761934700396,-0.0005826486044759929,0.0002721118728049918,0.006329552531546821
4.555555555555555,8.794297417791253e-06,2.0479426728641702e-06,-1.0141922393210294e-05,6.721482685008745e-08,-8.269170498806845e-08,1.0803447923526082e-08,6.956442672306736e-07,0.005518504947392667,0.0012851034295603748,-0.006364152386952169,4.217794064594071e-05,-5.188982830644386e-05,6.779265924559941e-06,0.00043652336826493056
5.333333333333334,4.1729315030103464e-06,1.1224701864782071e-07,-3.7766412481522043e-06,2.9496719383928747e-09,-1.8667937695021736e-08,8.583096245830265e-11,4.929048387117921e-07,0.002618554052755364,7.043606763684495e-05,-0.0023698781633529993,1.8509470867195975e-06,-1.171430776484581e-05,5.385974211053918e-08,0.0003093024561031938
6.111111111111111,2.137295172677245e-06,5.451519449740335e-09,-2.8543576526154883e-06,1.6857872185712929e-10,-6.2163575896099554e-09,-1.0678661269270678e-12,-7.176598072223828e-07,0.0013411729697243005,3.420880102751318e-06,-0.0017911364693807298,1.0578474509079682e-07,-3.900823281644303e-06,-6.70096111677804e-10,-0.00045033832818634317
6.888888888888889,1.1813832749840714e-06,-2.2197684793543034e-11,-3.047201296026522e-06,3.3948310804430034e-11,-2.4142269223676086e-09,1.4358290478232689e-11,-1.868206139048329e-06,0.0007413291975521972,-1.3929257510214663e-08,-0.0019121476826339996,2.1302886658218546e-08,-1.5149502663238746e-06,9.009963306441011e-09,-0.0011723170517556716
7.666666666666667,6.947243813004711e-07,-1.2564366042584076e-10,-3.3815324554429875e-06,1.414349899488148e-11,-1.0474088179814137e-09,1.6042293958900048e-11,-2.68795094082797e-06,0.00043594613112867117,-7.884258727318207e-08,-0.0021219436526423324,8.87517961569006e-09,-6.572589565005701e-07,1.0066691444915015e-08,-0.0016867146811863742
8.444444444444445,4.2971216940301815e-07,-5.3699733377454114e-11,-3.6391502609788175e-06,5.492758021560891e-12,-4.863623826177505e-10,9.045049550239835e-12,-3.2099636158842224e-06,0.00026964845742060166,-3.369709144901493e-08,-0.002283601266303411,3.4467576972655484e-09,-3.0519700292054083e-07,5.675854286145678e-09,-0.002014282580365195
9.222222222222221,2.7715165798469776e-07,-1.718674834548505e-11,-3.7903827042193325e-06,1.657060230239701e-12,-2.373064264696686e-10,3.346139939817156e-12,-3.51348053620928e-06,0.00017391529113769386,-1.0784847415130179e-08,-0.0023785010572225443,1.0398209935685942e-09,-1.4891203086577546e-07,2.0997345137761967e-09,-0.002204742323407624
10.0,1.8515105204564009e-07,-4.339191859716132e-12,-3.850830667009031e-06,3.886771262110607e-13,-1.2205365315563669e-10,9.128592417221247e-13,-3.6658047062720386e-06,0.00011618403929138927,-2.722884001749355e-09,-0.0024164327265608935,2.4389857904905987e-10,-7.65898236991736e-08,5.728278226666908e-10,-0.002300327183250804
